"date","home.team","home.score","away.team","away.score"
"2020-10-04","Alaves",1,"Ath Bilbao",0
"2020-10-04","Levante",0,"Real Madrid",2
"2020-10-04","Cadiz",1,"Granada",1
"2020-10-04","Barcelona",1,"Sevilla",1
"2020-10-17","Granada",1,"Sevilla",0
"2020-10-17","Celta",0,"Ath Madrid",2
"2020-10-17","Real Madrid",0,"Cadiz",1
"2020-10-17","Getafe",1,"Barcelona",0
"2020-10-18","Eibar",0,"Osasuna",0
"2020-10-18","Ath Bilbao",2,"Levante",0
"2020-10-18","Villarreal",2,"Valencia",1
"2020-10-18","Alaves",0,"Elche",2
"2020-10-18","Huesca",2,"Valladolid",2
"2020-10-18","Betis",0,"Sociedad",3
"2020-10-23","Elche",2,"Valencia",1
"2020-10-24","Barcelona",1,"Real Madrid",3
"2020-10-24","Osasuna",1,"Ath Bilbao",0
"2020-10-24","Sevilla",0,"Eibar",1
"2020-10-24","Ath Madrid",2,"Betis",0
"2020-10-25","Valladolid",0,"Alaves",2
"2020-10-25","Cadiz",0,"Villarreal",0
"2020-10-25","Getafe",0,"Granada",1
"2020-10-25","Sociedad",4,"Huesca",1
"2020-10-26","Levante",1,"Celta",1
"2020-10-30","Eibar",0,"Cadiz",2
"2020-10-31","Real Madrid",4,"Huesca",1
"2020-10-31","Ath Bilbao",2,"Sevilla",1
"2020-10-31","Osasuna",1,"Ath Madrid",3
"2020-10-31","Alaves",1,"Barcelona",1
"2020-11-01","Betis",3,"Elche",1
"2020-11-01","Celta",1,"Sociedad",4
"2020-11-01","Granada",1,"Levante",1
"2020-11-01","Valencia",2,"Getafe",2
"2020-11-02","Villarreal",2,"Valladolid",0
"2020-11-06","Elche",1,"Celta",1
"2020-11-07","Huesca",1,"Eibar",1
"2020-11-07","Barcelona",5,"Betis",2
"2020-11-07","Sevilla",1,"Osasuna",0
"2020-11-07","Ath Madrid",4,"Cadiz",0
"2020-11-08","Getafe",1,"Villarreal",3
"2020-11-08","Sociedad",2,"Granada",0
"2020-11-08","Levante",1,"Alaves",1
"2020-11-08","Valladolid",2,"Ath Bilbao",1
"2020-11-08","Valencia",4,"Real Madrid",1
"2020-11-20","Osasuna",1,"Huesca",1
"2020-11-21","Levante",1,"Elche",1
"2020-11-21","Villarreal",1,"Real Madrid",1
"2020-11-21","Sevilla",4,"Celta",2
"2020-11-21","Ath Madrid",1,"Barcelona",0
"2020-11-22","Eibar",0,"Getafe",0
"2020-11-22","Cadiz",0,"Sociedad",1
"2020-11-22","Granada",1,"Valladolid",3
"2020-11-22","Alaves",2,"Valencia",2
"2020-11-23","Ath Bilbao",4,"Betis",0
"2020-11-27","Valladolid",1,"Levante",1
"2020-11-28","Elche",1,"Cadiz",1
"2020-11-28","Valencia",0,"Ath Madrid",1
"2020-11-28","Huesca",0,"Sevilla",1
"2020-11-28","Real Madrid",1,"Alaves",2
"2020-11-29","Barcelona",4,"Osasuna",0
"2020-11-29","Getafe",1,"Ath Bilbao",1
"2020-11-29","Celta",3,"Granada",1
"2020-11-29","Sociedad",1,"Villarreal",1
